,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
296,teenage mutant ninja turtles: mutants in manhattan,2016,Action,Activision,0.05,0.01,0.0,0.01,0.07
297,valentino rossi: the game,2016,Racing,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07
298,disneyland adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0.0,0.01,0.07
299,dynasty warriors 8: empires,2014,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07
300,resident evil 6,2016,Shooter,Capcom,0.06,0.0,0.0,0.01,0.07
301,ghostbusters (2016),2016,Action,Activision,0.06,0.0,0.0,0.01,0.07
302,r.b.i. baseball 2017,2017,Sports,MLB.com,0.06,0.0,0.0,0.01,0.07
303,aven colony,2017,Strategy,Sold Out,0.06,0.0,0.0,0.01,0.06
304,adventure time: finn & jake investigations,2015,Action,Little Orbit,0.04,0.02,0.0,0.01,0.06
305,atari flashback classics: volume 1,2016,Misc,Atari,0.06,0.0,0.0,0.01,0.06
306,motogp 17,2017,Racing,Koch Media,0.04,0.02,0.0,0.01,0.06
307,wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0.0,0.01,0.06
308,mx vs atv supercross encore 2017 track edition,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06
309,cartoon network battle crashers,2016,Action,Maximum Games,0.05,0.01,0.0,0.01,0.06
310,hasbro family fun pack conquest edition,2016,Misc,Ubisoft,0.05,0.0,0.0,0.01,0.06
311,sherlock holmes: the devil's daughter,2016,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
312,mx vs. atv supercross encore,2015,Sports,Nordic Games,0.05,0.0,0.0,0.01,0.06
313,killing floor 2,2017,Shooter,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06
314,r.b.i. baseball 2016,2016,Sports,MLB.com,0.05,0.0,0.0,0.01,0.06
315,okami,2017,Action,Capcom,0.05,0.0,0.0,0.01,0.06
316,rapala fishing pro series,2017,Simulation,GameMill,0.05,0.0,0.0,0.01,0.06
317,arslan: the warriors of legend,2016,Action,Tecmo Koei,0.05,0.0,0.0,0.01,0.06
318,golf club 2,2017,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06
319,mark mcmorris infinite air,2016,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06
320,atari flashback classics: volume 2,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.06
321,hunting simulator,2017,Shooter,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
322,styx: shards of darknes,2017,Action,Focus Home Interactive,0.05,0.0,0.0,0.01,0.06
323,marvel's guardians of the galaxy: the telltale series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05
324,baja: edge of control hd,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.05
325,agatha christie's the abc murders,2016,Adventure,Microids,0.04,0.0,0.0,0.01,0.05
326,brothers: a tale of two sons,2015,Adventure,505 Games,0.04,0.01,0.0,0.01,0.05
327,the walking dead: a telltale series collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05
328,rugby 18,2017,Sports,Koch Media,0.04,0.0,0.0,0.01,0.05
329,has-been heroes,2017,Action,GameTrust,0.04,0.0,0.0,0.01,0.05
330,deformers,2017,Action,Ready at Dawn,0.04,0.0,0.0,0.01,0.05
331,extinction,2018,Action,Maximum Games,0.04,0.0,0.0,0.01,0.05
332,resident evil 4 hd,2016,Action-Adventure,Capcom,0.04,0.0,0.0,0.01,0.05
333,the technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05
334,cars 3: driven to win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.01,0.05
335,pillars of eternity,2017,Role-Playing,Paradox Interactive,0.04,0.0,0.0,0.01,0.05
336,just sing,2016,Music,Ubisoft,0.04,0.0,0.0,0.01,0.05
337,mighty no. 9,2016,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05
338,batman: the enemy within,2017,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05
339,wrc 7,2017,Racing,Bigben Interactive,0.04,0.0,0.0,0.01,0.05
340,king's quest: the complete collection,2016,Adventure,Activision,0.04,0.0,0.0,0.01,0.05
341,marvel pinball: epic collection volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0.0,0.0,0.01,0.05
342,road rage,2017,Racing,Maximum Games,0.04,0.0,0.0,0.0,0.04
343,dragon's dogma,2017,Role-Playing,Capcom,0.04,0.0,0.0,0.0,0.04
344,deer hunter reloaded,2017,Shooter,GameMill Entertainment,0.04,0.0,0.0,0.0,0.04
345,overcooked,2016,Action,Sold Out,0.04,0.0,0.0,0.0,0.04
346,resident evil 5 hd,2016,Action,Capcom,0.04,0.0,0.0,0.0,0.04
347,darksiders: warmastered edition,2016,Action-Adventure,THQ Nordic,0.04,0.0,0.0,0.0,0.04
348,valkyria: azure revolution,2017,Role-Playing,Deep Silver,0.04,0.0,0.0,0.0,0.04
349,game of thrones (telltale),2015,Adventure,Telltale Games,0.04,0.0,0.0,0.0,0.04
350,terraria,2014,Action,505 Games,0.0,0.04,0.0,0.0,0.04
351,elex,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04
352,battle chasers: nightwar,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04
353,don't starve,2018,Adventure,505 Games,0.04,0.0,0.0,0.0,0.04
354,dead rising 2,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04
355,don bradman cricket 14,2015,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04
356,monster jam: crush it,2016,Racing,GameMill,0.03,0.0,0.0,0.0,0.04
357,shadow warrior (2013),2014,Shooter,Devolver Digital,0.0,0.04,0.0,0.0,0.04
358,dead alliance,2017,Shooter,Maximum Games,0.03,0.0,0.0,0.0,0.04
359,warriors orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04
360,dead rising,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04
361,sine mora,2017,Action,THQ Nordic,0.03,0.0,0.0,0.0,0.04
362,wrc 6,2016,Racing,PQube,0.03,0.0,0.0,0.0,0.03
363,black mirror,2017,Adventure,THQ Nordic,0.03,0.0,0.0,0.0,0.03
364,pure farming 2018,2018,Simulation,Techland,0.03,0.0,0.0,0.0,0.03
365,motogp 15,2015,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03
366,raid: world war ii,2017,Shooter,505 Games,0.03,0.0,0.0,0.0,0.03
367,carmageddon: max damage,2016,Action,Stainless Games,0.02,0.01,0.0,0.0,0.03
368,inside / limbo double pack,2017,Platform,505 Games,0.03,0.0,0.0,0.0,0.03
369,warhammer: the end times - vermintide,2016,Action,Games Workshop,0.03,0.0,0.0,0.0,0.03
370,stardew valley,2017,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03
371,ben 10 (2017),2017,Action,Outright Games,0.02,0.0,0.0,0.0,0.03
372,the pillars of the earth,2017,Adventure,Kalypso Media,0.02,0.0,0.0,0.0,0.03
373,rime,2017,Adventure,Grey Box,0.02,0.0,0.0,0.0,0.03
374,worms: wmd,2016,Strategy,Team17 Digital Ltd,0.02,0.0,0.0,0.0,0.02
375,syberia iii,2017,Adventure,Microids,0.02,0.0,0.0,0.0,0.02
376,moto racer 4,2016,Racing,PQube,0.02,0.0,0.0,0.0,0.02
377,rugby league live 4,2017,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02
378,abzu,2017,Adventure,505 Games,0.02,0.0,0.0,0.0,0.02
379,pharaonic,2017,Action,Soedesco,0.02,0.0,0.0,0.0,0.02
380,geometry wars 3: dimensions evolved,2016,Action,Activision,0.02,0.0,0.0,0.0,0.02
381,resident evil: revelations,2017,Action,Capcom,0.02,0.0,0.0,0.0,0.02
382,broken sword 5: the serpent's curse,2015,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02
383,rugby world cup 2015,2015,Sports,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02
384,the crew: wild run,2015,Racing,Ubisoft,0.0,0.02,0.0,0.0,0.02
385,prison architect,2016,Simulation,Introversion Software,0.02,0.0,0.0,0.0,0.02
386,the dwarves,2016,Role-Playing,THQ Nordic,0.02,0.0,0.0,0.0,0.02
387,big buck hunter arcade,2017,Shooter,GameMill,0.02,0.0,0.0,0.0,0.02
388,redout,2017,Racing,505 Games,0.02,0.0,0.0,0.0,0.02
389,troll and i,2017,Action,Maximum Games,0.02,0.0,0.0,0.0,0.02
390,portal knights,2017,Role-Playing,505 Games,0.02,0.0,0.0,0.0,0.02
391,shaq-fu: a legend reborn,2018,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02
392,psycho-pass,2014,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02
393,tropico 5,2016,Simulation,Kalypso Media,0.02,0.0,0.0,0.0,0.02
394,back to the future: the game,2015,Adventure,Telltale Games,0.0,0.02,0.0,0.0,0.02
395,saints row: gat out of hell,2015,Action,Deep Silver,0.0,0.02,0.0,0.0,0.02
396,mega man legacy collection 2,2017,Action,Capcom,0.02,0.0,0.0,0.0,0.02
397,dungeons 3,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02
398,blackguards 2,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02
399,rogue trooper: redux,2017,Shooter,Rebellion,0.02,0.0,0.0,0.0,0.02
400,vikings: wolves of midgard,2017,Action,Kalypso Media,0.01,0.0,0.0,0.0,0.02
401,the inner world: the last wind monk,2017,Puzzle,Kalypso Media,0.01,0.0,0.0,0.0,0.02
402,assetto corsa,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.02
403,le tour de france 2017,2017,Simulation,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02
404,lock's quest,2017,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.02
405,wrc 5: fia world rally championship,2015,Racing,Bigben Interactive,0.0,0.01,0.0,0.0,0.02
406,flatout 4: total insanity,2017,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
407,shadow tactics: blades of the shogun,2017,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01
408,the town of light,2017,Adventure,THQ Nordic,0.01,0.0,0.0,0.0,0.01
409,goat simulator,2016,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
410,rugby league live 3,2015,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01
411,assassin's creed chronicles,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
412,sébastien loeb rally evo,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
413,rugby challenge 3,2016,Sports,Alternative Software,0.0,0.01,0.0,0.0,0.01
414,rabbids invasion: the interactive tv show,2014,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
415,zombiu,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
416,this war of mine,2016,Action,11 bit studios,0.0,0.01,0.0,0.0,0.01
417,battle worlds: kronos,2016,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01
418,screamride,2015,Simulation,Microsoft Studios,0.0,0.01,0.0,0.0,0.01
419,torment: tides of numenera,2017,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01
420,ziggurat,2016,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01
421,atv renegades,2017,Racing,Nighthawk Interactive,0.0,0.0,0.0,0.0,0.01
422,this is the police,2017,Simulation,THQ Nordic,0.0,0.0,0.0,0.0,0.01
423,valhalla hills,2017,Strategy,Kalypso Media,0.0,0.0,0.0,0.0,0.0
424,handball 16,2015,Sports,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
425,shovel knight,2015,Platform,Yacht Club Games,0.0,0.0,0.0,0.0,0.0
426,blood bowl 2,2015,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
427,the peanuts movie: snoopy's grand adventure,2015,Platform,Activision,0.0,0.0,0.0,0.0,0.0
428,farming 2017 - the simulation,2016,Simulation,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
429,kung fu panda: showdown of legendary legends,2015,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0
430,strider (2014),2014,Platform,Capcom,0.0,0.0,0.0,0.0,0.0
431,the amazing spider-man 2,2014,Misc,Activision,0.0,0.0,0.0,0.0,0.0
432,mega man legacy collection,2016,Platform,Capcom,0.0,0.0,0.0,0.0,0.0
433,a boy and his blob,,Platform,,0.0,0.0,0.0,0.0,0.0
434,agatha christie: the abc murders,2016,Adventure,Microids,0.0,0.0,0.0,0.0,0.0
435,ancients of ooga - the forgotten chapters,2016,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0
436,another world,,Adventure,,0.0,0.0,0.0,0.0,0.0
437,bladestorm: the hundred years' war,2015,Action,BioWare,0.0,0.0,0.0,0.0,0.0
438,brothers in arms: furious 4,2018,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0
439,buzz buzz bang,,Action,,0.0,0.0,0.0,0.0,0.0
440,woolfe: the red hood diaries,,Adventure,,0.0,0.0,0.0,0.0,0.0
441,slashdash,,Action,,0.0,0.0,0.0,0.0,0.0
442,devil may cry 4,2015,Action,Capcom,0.0,0.0,0.0,0.0,0.0
443,#idarb,,Action,,0.0,0.0,0.0,0.0,0.0
444,frog toss,,Misc,,0.0,0.0,0.0,0.0,0.0
445,gran turismo 5 prologue spec iii,2014,Misc,Wizards of the Coast,0.0,0.0,0.0,0.0,0.0
446,industry giant ii,2017,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0
447,killer instinct,2020,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
448,king's quest i: quest for the crown (vga version),,Misc,,0.0,0.0,0.0,0.0,0.0
449,limbo,,Platform,,0.0,0.0,0.0,0.0,0.0
450,mount & blade: warband,2016,Role-Playing,Koch Media,0.0,0.0,0.0,0.0,0.0
451,neverwinter,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
452,pier solar and the great architects,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
453,spectra 8bit racing,,Racing,,0.0,0.0,0.0,0.0,0.0
454,nero,,Puzzle,,0.0,0.0,0.0,0.0,0.0
455,pinball fx 2,,Misc,,0.0,0.0,0.0,0.0,0.0
456,gran turismo hd concept,,Misc,,0.0,0.0,0.0,0.0,0.0
457,dear esther,,Adventure,,0.0,0.0,0.0,0.0,0.0
458,lightning returns: final fantasy xiii,2013,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0
459,oddworld: abe's oddysee new n' tasty!,,Platform,,0.0,0.0,0.0,0.0,0.0
460,lifeless planet,,Puzzle,,0.0,0.0,0.0,0.0,0.0
461,slender: the arrival,2015,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0
462,lovers in a dangerous spacetime,,Action,,0.0,0.0,0.0,0.0,0.0
463,human element,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
464,whore of the orient,2020,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0
465,max: the curse of brotherhood,,Action-Adventure,,0.0,0.0,0.0,0.0,0.0
466,axiom verge,,Action,,0.0,0.0,0.0,0.0,0.0
467,guacamelee!,,Action,,0.0,0.0,0.0,0.0,0.0
468,carmageddon: reincarnation,2015,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0
469,the banner saga,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
470,cobalt,,Action,,0.0,0.0,0.0,0.0,0.0
471,plague inc.,,Strategy,,0.0,0.0,0.0,0.0,0.0
472,badland,,Action,,0.0,0.0,0.0,0.0,0.0
473,halo: spartan assault,,Shooter,,0.0,0.0,0.0,0.0,0.0
474,halo 6,2020,Shooter,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
475,d4,,Adventure,,0.0,0.0,0.0,0.0,0.0
476,crimson dragon,,Shooter,,0.0,0.0,0.0,0.0,0.0
477,below,,Action-Adventure,,0.0,0.0,0.0,0.0,0.0
478,peggle 2,,Misc,,0.0,0.0,0.0,0.0,0.0
479,lococycle,,Action,,0.0,0.0,0.0,0.0,0.0
480,powerstar golf,,Sports,,0.0,0.0,0.0,0.0,0.0
481,kingdom hearts iii,2019,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0
482,black tusk studios game,2020,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
483,kickbeat,,Misc,,0.0,0.0,0.0,0.0,0.0
484,reus,2016,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0
485,rogue legacy,,Action,,0.0,0.0,0.0,0.0,0.0
486,defense grid 2,,Misc,,0.0,0.0,0.0,0.0,0.0
487,hellraid,,Misc,,0.0,0.0,0.0,0.0,0.0
488,there came an echo,,Misc,,0.0,0.0,0.0,0.0,0.0
489,strike suit zero,,Misc,,0.0,0.0,0.0,0.0,0.0
490,fable legends,2016,Role-Playing,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
491,wonderflick,2014,Misc,Level 5,0.0,0.0,0.0,0.0,0.0
492,monochroma,2014,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
493,forced,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
494,sea animal games for toddlers and kids with jigsaw puzzles,2013,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0
495,unmechanical,,Puzzle,,0.0,0.0,0.0,0.0,0.0
496,divekick,,Fighting,,0.0,0.0,0.0,0.0,0.0
497,child of light,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
498,valiant hearts: the great war,,Adventure,,0.0,0.0,0.0,0.0,0.0
499,hyper light drifter,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
500,legend of raven,,Misc,,0.0,0.0,0.0,0.0,0.0
501,xbox fitness,,Misc,,0.0,0.0,0.0,0.0,0.0
502,raven's cry,2014,Role-Playing,TopWare Interactive,0.0,0.0,0.0,0.0,0.0
503,shantae: half-genie hero,,Platform,,0.0,0.0,0.0,0.0,0.0
504,tales from the borderlands,2014,Adventure,Telltale Games,0.0,0.0,0.0,0.0,0.0
505,get even,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0
506,threes!,,Puzzle,,0.0,0.0,0.0,0.0,0.0
507,worms battlegrounds,,Strategy,,0.0,0.0,0.0,0.0,0.0
508,stranger of sword city,2016,Role-Playing,Experience Inc.,0.0,0.0,0.0,0.0,0.0
509,the book of unwritten tales 2,2015,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0
510,puyo puyo tetris,2014,Puzzle,Sega,0.0,0.0,0.0,0.0,0.0
511,razor global domination pro tour,,Misc,,0.0,0.0,0.0,0.0,0.0
512,gone home,,Adventure,,0.0,0.0,0.0,0.0,0.0
513,costume quest 2,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
514,aztez,,Misc,,0.0,0.0,0.0,0.0,0.0
515,not a hero,,Misc,,0.0,0.0,0.0,0.0,0.0
516,cult county,2015,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0
517,adr1ft,2016,Adventure,505 Games,0.0,0.0,0.0,0.0,0.0
518,r.b.i. baseball 14,2014,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0
519,blue estate,2014,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
520,source,,Misc,,0.0,0.0,0.0,0.0,0.0
521,chariot,,Adventure,,0.0,0.0,0.0,0.0,0.0
522,super time force,,Misc,,0.0,0.0,0.0,0.0,0.0
523,pure pool,,Sports,,0.0,0.0,0.0,0.0,0.0
524,never alone,,Misc,,0.0,0.0,0.0,0.0,0.0
525,space hulk: deathwing,2015,Shooter,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
526,red goddess: inner mind,,Platform,,0.0,0.0,0.0,0.0,0.0
527,mystereet f: the detectives' curtain call,2014,Misc,5pb,0.0,0.0,0.0,0.0,0.0
528,chaos;child,2014,Visual Novel,5pb,0.0,0.0,0.0,0.0,0.0
529,fenix rage,,Platform,,0.0,0.0,0.0,0.0,0.0
530,fru,,Puzzle,,0.0,0.0,0.0,0.0,0.0
531,shiness: the lightning kingdom,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
532,ori and the blind forest,,Platform,,0.0,0.0,0.0,0.0,0.0
533,phantom dust (2015),,Action,,0.0,0.0,0.0,0.0,0.0
534,scalebound,2014,Action,PlatinumGames,0.0,0.0,0.0,0.0,0.0
535,crackdown 3,2019,Action,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
536,ea sports pga tour,2015,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0
537,lara croft and the temple of osiris,2014,Action,Square Enix,0.0,0.0,0.0,0.0,0.0
538,wulverblade,,Action,,0.0,0.0,0.0,0.0,0.0
539,gunscape,,Action,,0.0,0.0,0.0,0.0,0.0
540,cuphead,,Action,,0.0,0.0,0.0,0.0,0.0
541,knight squad,,Action,,0.0,0.0,0.0,0.0,0.0
542,dead island 2,2017,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0
543,inside,,Platform,,0.0,0.0,0.0,0.0,0.0
544,tetris ultimate,2014,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0
545,afro samurai 2,2015,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0
546,the legend of korra (2014),2014,Action,Activision,0.0,0.0,0.0,0.0,0.0
547,azito x tatsunoko legends,,Simulation,,0.0,0.0,0.0,0.0,0.0
548,shooting love trilogy,2015,Shooter,Triangle Service,0.0,0.0,0.0,0.0,0.0
549,airmech arena,,Action,,0.0,0.0,0.0,0.0,0.0
550,the walking dead: season three,,Action,,0.0,0.0,0.0,0.0,0.0
551,king of wushu,2015,Action,Snail Game,0.0,0.0,0.0,0.0,0.0
552,mercury,2015,Action,Unknown,0.0,0.0,0.0,0.0,0.0
553,pneuma: breath of life,,Puzzle,,0.0,0.0,0.0,0.0,0.0
554,the escapists,,Action,,0.0,0.0,0.0,0.0,0.0
555,superhot,,Shooter,,0.0,0.0,0.0,0.0,0.0
556,spectra,,Racing,,0.0,0.0,0.0,0.0,0.0
557,space engineers,,Simulation,,0.0,0.0,0.0,0.0,0.0
558,no time to explain,,Action,,0.0,0.0,0.0,0.0,0.0
559,funk of titans,,Platform,,0.0,0.0,0.0,0.0,0.0
560,fruit ninja kinect 2,,Action,,0.0,0.0,0.0,0.0,0.0
561,blues and bullets,,Action-Adventure,,0.0,0.0,0.0,0.0,0.0
562,game 4,,Strategy,,0.0,0.0,0.0,0.0,0.0
563,raiden v,2016,Action,Moss,0.0,0.0,0.0,0.0,0.0
564,assassin's creed chronicles: china,2015,Action-Adventure,Ubisoft,0.0,0.0,0.0,0.0,0.0
565,pathologic,2015,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0
566,geometry wars 3: dimensions,,Shooter,,0.0,0.0,0.0,0.0,0.0
567,assassin's creed: victory,2015,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0
568,the banner saga 2,,Role-Playing,,0.0,0.0,0.0,0.0,0.0
569,gigantic,,Action,,0.0,0.0,0.0,0.0,0.0
570,magic duels: origin,,Misc,,0.0,0.0,0.0,0.0,0.0
571,shiftlings,,Platform,,0.0,0.0,0.0,0.0,0.0
572,oceanhorn: monster of uncharted seas,,Action-Adventure,,0.0,0.0,0.0,0.0,0.0
573,beyond eyes,,Adventure,,0.0,0.0,0.0,0.0,0.0
574,inside my radio,,Platform,,0.0,0.0,0.0,0.0,0.0
575,kaiju panic,,Strategy,,0.0,0.0,0.0,0.0,0.0
576,tembo the badass elephant,,Platform,,0.0,0.0,0.0,0.0,0.0
577,assassin's creed chronicles: russia,,Action,,0.0,0.0,0.0,0.0,0.0
578,assassin's creed chronicles: india,,Action,,0.0,0.0,0.0,0.0,0.0
579,overlord: fellowship of evil,,Action,,0.0,0.0,0.0,0.0,0.0
580,r.b.i. baseball 15,2015,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0
581,the walking dead: michonne,,Adventure,,0.0,0.0,0.0,0.0,0.0
582,unravel,,Platform,,0.0,0.0,0.0,0.0,0.0
583,tachyon project,,Action,,0.0,0.0,0.0,0.0,0.0
584,cross reverie,2017,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0
585,goosebumps: the game,,Adventure,,0.0,0.0,0.0,0.0,0.0
586,the escapists: the walking dead,2015,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0
587,woodcutter simulator 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
588,professional farmer 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
589,professional lumberjack 2016,2015,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0
590,alekhine's gun,2016,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0
591,world to the west,2017,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0
592,the binding of isaac: rebirth,,Action,,0.0,0.0,0.0,0.0,0.0
593,super dungeon bros,2016,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0
594,pro cycling manager 2016,2016,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
595,de-formers,,Action,,0.0,0.0,0.0,0.0,0.0
596,wonder boy: the dragon's trap (remake),,Platform,,0.0,0.0,0.0,0.0,0.0
597,rock of ages ii: bigger and boulder,,Action,,0.0,0.0,0.0,0.0,0.0
598,fe,,Action,,0.0,0.0,0.0,0.0,0.0
599,we sing (2016),2016,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0
600,don bradman cricket 17,2016,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0
601,ace combat 7: skies unknown,2019,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0
602,the sexy brutale,,Adventure,,0.0,0.0,0.0,0.0,0.0
603,metro exodus,2019,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0
604,anthem,2019,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0
605,aerea,2017,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0
606,moons of madness,2018,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0
607,iron harvest,2018,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0
608,biomutant,2018,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
609,biomutant,2019,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0
610,de blob,2017,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0
611,outcast: second contact,2017,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
612,code vein,2019,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
